title,location,price(L),rate_persqft,area_insqft,building_status
5 BHK Independent House,Sainikpuri,180.0,3750,4800,Ready to move
2 BHK Apartment,Suraram,61.98,4999,1240,Under Construction
3 BHK Apartment,Suraram,77.48,4999,1550,Under Construction
Residential Plot,Chevella,112.0,5000,2250,Resale
2 BHK Apartment,Kollur,75.35,5500,1370,Under Construction
3 BHK Apartment,Kollur,111.0,5500,2020,Under Construction
3 BHK Apartment,Kollur,121.0,5500,2210,Under Construction
3 BHK Apartment,Kollur,100.0,5500,1835,Under Construction
3 BHK Apartment,Kondapur,170.0,8500,2005,Under Construction
3 BHK Apartment,Kondapur,165.0,8500,1945,Under Construction
3 BHK Apartment,Puppalaguda,100.0,6200,1620,Under Construction
2 BHK Apartment,Puppalaguda,85.8,6500,1320,Under Construction
2 BHK Apartment,Puppalaguda,84.17,6500,1295,Under Construction
2 BHK Apartment,Puppalaguda,76.88,6195,1241,Under Construction
2 BHK Apartment,Manikonda,80.6,6500,1240,Under Construction
3 BHK Apartment,Puppalaguda,97.65,6200,1575,Under Construction
2 BHK Apartment,Manikonda,84.5,6500,1300,Under Construction
2 BHK Apartment,Manikonda,77.35,6500,1190,Under Construction
4 BHK Villa,Kokapet,1200.0,36363,3300,Ready to move
2 BHK Apartment,Aminpur,50.82,4200,1210,Under Construction
3 BHK Apartment,Attapur,97.0,6217,1560,Ready to move
3 BHK Apartment,Kokapet,232.0,11328,2048,Ready to move
Residential Plot,Ghatkesar,22.24,1428,1557,New
3 BHK Apartment,Manikonda,80.0,5714,1400,Ready to move
2 BHK Apartment,Puppalaguda,68.0,6325,1075,Ready to move
3 BHK Apartment,Kondapur,97.5,6500,1500,Under Construction
3 BHK Apartment,Kondapur,110.0,6285,1750,Ready to move
2 BHK Apartment,Vanasthalipuram,59.0,5042,1170,Ready to move
3 BHK Apartment,Uppal Kalan,82.5,5500,1500,Under Construction
2 BHK Apartment,Kothapet,60.0,6185,970,Ready to move
4 BHK Villa,Tukkuguda,403.0,9500,4250,Ready to move
4 BHK Villa,Attapur,489.0,14500,3379,Ready to move
Residential Plot,Bhuvanagiri,48.06,18000,267,New
Residential Plot,Bhuvanagiri,54.0,27000,200,New
Residential Plot,Bhuvanagiri,36.0,2000,1800,New
Residential Plot,Rayagiri Rural,39.6,18000,220,New
Residential Plot,Rayagiri Rural,28.8,18000,160,New
Residential Plot,Rayagiri Rural,26.28,2000,1314,New
Residential Plot,Bhuvanagiri,54.0,18000,300,New
Residential Plot,Bhuvanagiri,49.5,16500,300,New
Residential Plot,Bhuvanagiri,36.3,18150,200,New
Residential Plot,Bhuvanagiri,33.0,16500,200,New
Residential Plot,Bhuvanagiri,30.19,16500,183,New
Residential Plot,Rayagiri Rural,28.8,18000,160,New
Residential Plot,Rayagiri Rural,45.0,20454,220,New
Residential Plot,Shadnagar,64.73,2055,3150,New
Residential Plot,Shadnagar,73.98,2055,3600,New
Residential Plot,Shadnagar,36.99,2055,1800,New
Residential Plot,Shadnagar,55.48,2055,2700,New
Residential Plot,Shadnagar,27.74,2055,1350,New
Residential Plot,Shadnagar,37.8,2333,1620,New
Residential Plot,Shadnagar,31.5,2333,1350,New
Residential Plot,Bhuvanagiri,20.13,11000,183,New
Residential Plot,Bhuvanagiri,17.98,10900,165,New
Residential Plot,Bhuvanagiri,18.15,11000,165,New
3 BHK Independent House,Hayathnagar,160.0,6666,2400,Ready to move
3 BHK Apartment,Pocharam,96.2,5200,1850,Ready to move
2 BHK Apartment,Rajendra Nagar,69.0,5454,1265,Ready to move
3 BHK Apartment,Peerzadiguda,65.0,4744,1370,Ready to move
2 BHK Apartment,Peerzadiguda,50.0,4504,1110,Ready to move
3 BHK Apartment,Peerzadiguda,64.0,4737,1351,Ready to move
3 BHK Apartment,Peerzadiguda,65.0,4693,1385,Ready to move
3 BHK Apartment,Peerzadiguda,75.0,4705,1594,Ready to move
