,price(L)
1710,85.62
3402,105.0
2389,18.79
883,640.0
1098,264.0
156,167.0
2772,14.55
886,544.0
3656,65.0
2215,72.9
1512,51.3
3012,160.0
3032,54.05
2833,84.0
3082,51.0
3180,30.0
737,101.0
1453,15.0
1505,12.65
2517,67.89
2383,17.39
3228,25.09
458,58.2
2400,15.72
1951,16.09
78,187.0
3551,200.0
2534,18.72
1056,147.0
906,25.01
2578,13.62
2699,12.07
3283,15.07
380,360.0
947,109.0
2292,72.0
2446,135.0
2905,96.87
715,98.68
3599,57.0
686,553.0
3122,19.11
1293,98.08
305,160.0
209,37.48
1143,956.0
2706,20.89
3627,18.89
2325,65.4
885,325.0
1929,12.38
2238,250.0
917,24.0
3284,25.21
2258,86.32
2313,172.0
1265,239.0
483,171.0
2750,9.68
3163,22.0
277,59.0
988,69.49
1245,75.0
571,56.7
1435,22.0
993,116.0
2315,172.0
2493,42.0
585,116.0
1349,215.0
1007,600.0
674,129.0
447,71.55
2086,159.0
2753,25.05
2064,19.54
2900,88.12
3117,57.48
1690,95.0
3024,160.0
1247,119.0
1985,18.39
294,45.0
1547,28.26
2012,25.51
588,100.0
2810,90.0
425,27.0
1054,166.0
3044,141.0
556,64.5
3198,37.38
3474,60.0
3239,12.0
2784,6.0
1193,696.0
1716,124.0
3087,51.34
3299,12.49
3580,450.0
1285,82.0
2285,81.53
2310,177.0
2927,15.24
2087,136.0
1889,240.0
1591,36.5
3227,21.58
2194,79.8
2952,33.3
1137,85.71
2339,76.78
3440,8.0
3576,36.8
1711,77.65
3025,160.0
453,78.0
913,24.5
3206,108.0
1199,26.61
1274,250.0
37,75.69
974,170.0
983,112.0
3476,41.0
1418,86.0
1560,87.0
39,154.0
1486,61.98
2335,85.2
169,253.0
1355,130.0
2186,769.0
3288,42.0
2404,15.0
2415,75.48
1640,53.0
1290,119.0
1380,85.0
1933,23.38
579,57.0
2030,14.52
892,293.0
780,13.19
159,66.99
2,55.64
3049,57.48
849,43.27
3308,68.0
1596,6.6
1776,35.8
1913,14.58
1043,77.53
1544,36.11
2229,55.2
53,56.36
3524,20.52
1911,11.34
2459,52.5
824,1093.0
3271,169.0
1389,95.4
2997,50.0
2457,105.0
1607,58.05
1594,120.0
771,139.0
1868,58.56
1085,478.0
2496,10.0
1325,47.76
1463,108.0
806,479.0
3477,9.2
2270,86.5
2108,55.2
2603,33.11
3594,240.0
963,49.33
398,71.0
3427,145.0
704,142.0
431,17.28
292,30.19
3455,64.0
145,41.9
2033,14.51
2573,13.62
1165,37.8
2050,14.65
2868,17.8
339,798.0
2213,79.39
265,97.65
3089,55.18
1771,13.38
271,232.0
696,140.0
3625,26.99
244,122.0
3432,120.0
476,116.0
2032,42.5
3107,57.48
2298,1800.0
813,234.0
1914,14.53
3086,1650.0
3600,18.3
1804,13.96
2646,32.94
250,180.0
545,67.79
738,78.16
310,64.0
1131,81.05
1449,22.5
3544,56.0
15,82.24
3207,31.0
2567,32.94
2941,25.05
363,172.0
182,58.5
1194,26.62
2487,30.0
1121,112.0
1182,78.0
2684,14.39
614,73.93
1466,179.0
401,53.56
934,400.0
2417,66.5
3535,20.42
726,108.0
826,349.0
1521,113.0
136,160.0
628,110.0
334,59.0
390,135.0
3039,55.18
1817,13.45
3287,46.72
710,183.0
1039,150.0
3268,128.0
3158,33.0
1561,93.26
3361,55.0
3522,26.32
1112,55.0
1223,125.0
2439,5.0
1508,117.0
1750,16.56
3273,113.0
338,56.0
215,17.69
1341,17.59
3106,57.48
3421,600.0
2367,21.71
2274,71.53
2665,17.76
101,260.0
2626,25.0
171,284.0
107,60.0
3252,74.76
3642,58.0
2686,15.19
2442,22.0
2654,14.93
2484,16.0
2553,4.5
2881,40.0
2844,275.0
3133,21.6
1040,584.0
2120,50.83
1524,91.3
3116,57.48
2248,62.38
481,186.0
2600,20.92
3053,57.48
1762,24.56
2978,16.0
3653,95.0
2528,11.32
2498,48.4
405,60.27
757,156.0
2390,18.79
97,121.0
1333,6.75
3624,18.29
3377,50.0
2403,29.0
2058,14.55
3091,53.48
148,42.37
28,58.03
2500,76.74
2406,29.0
692,77.97
1386,111.0
1845,20.2
2503,66.74
1599,250.0
701,108.0
1708,71.28
454,80.0
2040,6.58
3583,420.0
609,75.0
167,210.0
730,92.67
2632,6.0
3379,55.0
2424,25.22
1622,32.4
587,100.0
1401,113.0
1700,76.65
2668,21.28
2877,26.84
1379,641.0
2089,188.0
2175,149.0
3515,165.0
2490,58.0
2963,13.69
441,208.0
2051,13.58
1301,26.53
3090,55.18
1304,23.7
236,12.49
520,63.98
735,115.0
3233,33.6
2106,76.8
592,85.17
1303,25.5
1387,99.28
2375,35.69
2714,120.0
3401,125.0
904,185.0
3095,57.48
1279,42.0
3355,70.0
3509,575.0
2308,136.0
2902,110.0
2996,50.29
2895,78.0
706,293.0
3218,56.0
745,136.0
1939,24.9
2398,44.0
513,18.76
81,171.0
1308,86.07
3031,54.05
914,24.0
3366,65.1
3350,17.45
